,configuration,release,recall,precision,fpr,f_measure,g_measure,balance,accuracy,error,error_type1,error_type2,mcc,consistency,auc,auc_alberg,auc_roi,necm10,necm25,cost,nofb20,nofc80,bias_train,bias_train_processed,bias_test,ratio_bias,ratio_bias_processed,prop1_defect,prop1_clean,num_train,num_train_processed,num_test,diff,potential
25,5_Watanabe08,archiva-2.0.0,0.4444444444444444,0.1025641025641025,0.07777777777777778,0.1666666666666666,0.5998193315266486,0.6033317771583591,0.9128540305010894,0.0871459694989106,3.888888888888889,0.011111111111111112,0.1823232246362438,0.43333333333333335,0.8481481481481481,0.0001674569609979,0.5979497075095593,0.1851851851851851,0.3485838779956427,19276.0,3.0,97.0,0.0638049885111059,0.0638049885111059,0.0196078431372549,0.3073089361005364,0.3073089361005364,125.55555555555556,12.875555555555556,30029,30029,459,-424.73333333333267,none
26,3_Peters15,calcite-1.13.0,0.6981132075471698,0.1594827586206896,0.1595744680851064,0.25964912280701746,0.7626875407697326,0.7585464368433312,0.8345098039215686,0.1654901960784313,3.6792452830188678,0.01309328968903437,0.2786149014722373,0.6850199178581354,0.83719853009295,0.0,0.4914112723503785,0.2784313725490196,0.4666666666666667,106941.0,6.0,286.0,0.0325088339222614,0.0370058873002523,0.0415686274509803,1.2786871270247233,1.1232976827094452,82.39622641509433,14.150572831423895,1415,1189,1275,1350.9334719334724,large
27,3_Peters15,calcite-1.14.0,0.5849056603773585,0.1597938144329896,0.1298804780876494,0.2510121457489877,0.6995587976978951,0.6924514271086328,0.8585626911314985,0.1414373088685015,3.0754716981132075,0.01752988047808765,0.2524362788545197,0.5673757798992708,0.8268811546267759,7.722244515385089e-05,0.4949752282876706,0.2928134556574923,0.5451070336391437,101230.0,9.0,407.0,0.0117647058823529,0.0116375727348295,0.0405198776758409,3.444189602446489,3.481815203145499,87.52830188679245,14.648605577689244,1275,1203,1308,1016.9333333333334,large
28,5_Watanabe08,archiva-2.1.0,0.6666666666666666,0.1025641025641025,0.07743362831858407,0.17777777777777767,0.774013921113689,0.7580216146990689,0.9192139737991266,0.0807860262008733,5.833333333333333,0.004424778761061947,0.2400449740718428,0.6622418879056047,0.8683628318584071,0.0,0.6785810038244675,0.1200873362445414,0.185589519650655,20145.0,4.0,93.0,0.0646941411295057,0.0646941411295057,0.0131004366812227,0.20249803850085976,0.20249803850085976,194.5,13.688053097345133,34068,34068,458,6164.666666666666,large
29,3_Peters15,calcite-1.15.0,0.6444444444444445,0.1584699453551912,0.11782708492731446,0.25438596491228066,0.7447988595357955,0.7351387391209425,0.8742603550295858,0.1257396449704142,3.422222222222222,0.01224177505738332,0.2761254403093882,0.6322026693870612,0.8450735356626711,0.0,0.5211146031099814,0.2322485207100591,0.4097633136094674,101103.0,6.0,319.0,0.0122324159021406,0.0121753246753246,0.033284023668639,2.7209689349112547,2.7337278106509,104.31111111111112,14.75592960979342,1308,1232,1352,1858.546666666667,large
30,3_Peters15,calcite-1.2.0,0.3968253968253968,0.3125,0.1120162932790224,0.34965034965034963,0.5485242684246282,0.5661986330849037,0.8321299638989169,0.167870036101083,0.873015873015873,0.07739307535641547,0.2572353932248049,0.3194323214689814,0.7619734587657194,0.0143911213051142,0.4598555360542742,0.7851985559566786,1.8140794223826715,79852.0,27.0,484.0,0.0072529465095194,0.0076335877862595,0.1137184115523465,15.678925992779972,14.897111913357472,53.76190476190476,11.740325865580449,1103,1048,1108,-348.9066666666665,none
31,3_Peters15,calcite-1.3.0,0.4285714285714285,0.2580645161290322,0.13758723828514458,0.32214765100671133,0.5725948808473079,0.5843914940813704,0.8188340807174888,0.1811659192825112,1.2321428571428572,0.06380857427716849,0.2346197363036754,0.3647628542942601,0.752617148554337,0.009756834657431,0.445885660011231,0.6977578475336322,1.5587443946188342,85734.0,19.0,517.0,0.0252707581227436,0.0256410256410256,0.1004484304932735,3.974887892376693,3.917488789237673,61.23214285714285,12.40877367896311,1108,1053,1115,-447.44846938775527,none
32,3_Peters15,calcite-1.4.0,0.4146341463414634,0.2727272727272727,0.13545816733067728,0.32903225806451614,0.5604679428745063,0.5751458498931821,0.8154392191659272,0.1845607808340727,1.1056910569105691,0.07171314741035857,0.2339983148598323,0.34292099893110484,0.7523685744825576,0.0105275634354431,0.4439718357562681,0.7595385980479148,1.717834960070985,84583.0,21.0,517.0,0.0197309417040358,0.0198863636363636,0.1091393078970718,5.5313785593288864,5.488148054252763,54.45528455284553,12.3496015936255,1115,1056,1127,-55.31837606837598,none
33,5_Watanabe08,archiva-2.2.0,0.6666666666666666,0.0526315789473684,0.07929515418502203,0.09756097560975607,0.7733580018501387,0.7577203758171794,0.9190371991247265,0.0809628008752735,12.0,0.0022026431718061676,0.1717918764436809,0.6644640234948604,0.9170337738619676,0.0,0.5998683745235944,0.1006564551422319,0.1334792122538293,20222.0,1.0,92.0,0.0606878908470722,0.0606878908470722,0.0065645514223194,0.10816904872936604,0.10816904872936604,392.6666666666667,14.244493392070485,42216,42216,457,5229.0,large
34,3_Peters15,calcite-1.5.0,0.5048543689320388,0.2184873949579832,0.1733457595526561,0.30498533724340177,0.6268679029879652,0.6290431640200057,0.798469387755102,0.2015306122448979,1.8058252427184467,0.047530288909599254,0.2332509317495584,0.45732408002243957,0.7660854694667886,0.0061131447914193,0.4169437746055889,0.5918367346938775,1.2423469387755102,128197.0,17.0,535.0,0.0390417036379769,0.0369318181818181,0.0875850340136054,2.243371212121213,2.37153322867609,65.80582524271844,35.30661696178937,1127,1056,1176,-860.2946650124068,none
