idresults,configurationName,productName,classifier,testsize,trainsize,trainsizeOriginal,biasTest,biasTraining,biasTrainingOriginal,prop1Defect,prop1Clean,error,recall,precision,fscore,gscore,mcc,balance,auc,aucec,aucAlberg,aucRoI,nofb20,relb20,nofi80,reli80,rele80,necm10,necm15,necm20,necm25,cost,nofbPredicted,nofbMissed,tpr,tnr,fpr,fnr,tp,fn,tn,fp,lowerConst1to1,upperConst1to1,lowerConst1toM,upperConst1toM,lowerConstNtoM,upperConstNtoM,lowerSize1to1,upperSize1to1,lowerSize1toM,upperSize1toM,lowerSizeNtoM,upperSizeNtoM,lowerConst1to1Imp10,upperConst1to1Imp10,lowerConst1toMImp10,upperConst1toMImp10,lowerConstNtoMImp10,upperConstNtoMImp10,lowerSize1to1Imp10,upperSize1to1Imp10,lowerSize1toMImp10,upperSize1toMImp10,lowerSizeNtoMImp10,upperSizeNtoMImp10,lowerConst1to1Imp20,upperConst1to1Imp20,lowerConst1toMImp20,upperConst1toMImp20,lowerConstNtoMImp20,upperConstNtoMImp20,lowerSize1to1Imp20,upperSize1to1Imp20,lowerSize1toMImp20,upperSize1toMImp20,lowerSizeNtoMImp20,upperSizeNtoMImp20,lowerConst1to1Imp30,upperConst1to1Imp30,lowerConst1toMImp30,upperConst1toMImp30,lowerConstNtoMImp30,upperConstNtoMImp30,lowerSize1to1Imp30,upperSize1to1Imp30,lowerSize1toMImp30,upperSize1toMImp30,lowerSizeNtoMImp30,upperSizeNtoMImp30,lowerConst1to1Imp40,upperConst1to1Imp40,lowerConst1toMImp40,upperConst1toMImp40,lowerConstNtoMImp40,upperConstNtoMImp40,lowerSize1to1Imp40,upperSize1to1Imp40,lowerSize1toMImp40,upperSize1toMImp40,lowerSizeNtoMImp40,upperSizeNtoMImp40,lowerConst1to1Imp50,upperConst1to1Imp50,lowerConst1toMImp50,upperConst1toMImp50,lowerConstNtoMImp50,upperConstNtoMImp50,lowerSize1to1Imp50,upperSize1to1Imp50,lowerSize1toMImp50,upperSize1toMImp50,lowerSizeNtoMImp50,upperSizeNtoMImp50
78061,MYNBOU_5_Watanabe08,ant-ivy-1.4.1_aggregated.csv,NB,240,605,605,0.04583333333333333,0.026446280991735537,0.026446280991735537,42.0,18.602620087336245,0.11666666666666667,0.36363636363636365,0.16,0.2222222222222222,0.519350811485643,0.1861603785709097,0.5453748091522821,0.6982929734021437,0.6909090909090911,0.0014754601142428652,0.4458809931848076,1.0,0.09090909090909091,133.0,0.5541666666666667,0.820911880754055,0.37916666666666665,0.525,0.6708333333333333,0.8166666666666667,9994.0,4.0,7.0,0.36363636363636365,0.9082969432314411,0.09170305676855896,0.6363636363636364,4.0,7.0,208.0,21.0,6.25,30.714285714285715,6.25,30.714285714285715,12.5,43.0,2498.5,1830.857142857143,2498.5,1830.857142857143,4997.0,2563.2,6.944444444444445,34.12698412698413,6.944444444444445,34.12698412698413,14.619883040935672,50.71950931823543,2776.111111111111,2034.2857142857144,2776.111111111111,2034.2857142857144,5844.444444444444,3023.3545647558385,7.8125,38.39285714285714,7.8125,38.39285714285714,17.36111111111111,60.52927927927927,3123.125,2288.5714285714284,3123.125,2288.5714285714284,6940.277777777777,3608.1081081081074,8.928571428571429,43.87755102040817,8.928571428571429,43.87755102040817,21.008403361344538,73.30378452096829,3569.2857142857147,2615.5102040816328,3569.2857142857147,2615.5102040816328,8398.319327731093,4369.587453119673,10.416666666666668,51.19047619047619,10.416666666666668,51.19047619047619,26.041666666666668,90.48821548821549,4164.166666666667,3051.428571428571,4164.166666666667,3051.428571428571,10410.416666666668,5393.939393939394,12.5,61.42857142857143,12.5,61.42857142857143,33.333333333333336,114.66666666666667,4997.0,3661.714285714286,4997.0,3661.714285714286,13325.333333333334,6835.2
78062,MYNBOU_3_Peters15,ant-ivy-2.0.0_aggregated.csv,NB,352,187,240,0.14204545454545456,0.03208556149732621,0.04583333333333333,18.16,9.450331125827814,0.19602272727272727,0.6,0.379746835443038,0.46511627906976744,0.6992169507139567,0.366284142049828,0.6947741821581956,0.7401986754966887,0.7018560606060599,0.0360843772234689,0.5263713529299382,17.0,0.22666666666666668,252.0,0.7159090909090909,0.8385872976882556,0.7073863636363636,0.9914772727272727,1.2755681818181819,1.5596590909090908,21537.0,46.0,29.0,0.6,0.8377483443708609,0.16225165562913907,0.4,30.0,20.0,253.0,49.0,2.6333333333333333,13.65,1.7173913043478262,9.413793103448276,2.6333333333333333,10.5,717.9,755.1,468.19565217391306,520.7586206896551,717.9,580.8461538461538,2.925925925925926,15.166666666666666,1.9082125603864735,10.459770114942527,2.9755178907721294,12.301120618570641,797.6666666666666,839.0,520.2173913043479,578.6206896551723,811.1864406779664,680.4817713613693,3.2916666666666665,17.0625,2.1467391304347823,11.767241379310343,3.4051724137931014,14.563417548651408,897.375,943.875,585.2445652173913,650.9482758620688,928.3189655172408,805.6290542847383,3.761904761904762,19.5,2.4534161490683233,13.448275862068968,3.959899749373435,17.478599919329547,1025.5714285714287,1078.7142857142858,668.8509316770187,743.9408866995075,1079.5488721804516,966.8930988341201,4.388888888888889,22.75,2.8623188405797104,15.689655172413794,4.702380952380953,21.365514650638623,1196.5,1258.5,780.3260869565217,867.9310344827587,1281.964285714286,1181.912096168295,5.266666666666667,27.3,3.4347826086956523,18.82758620689655,5.745454545454545,26.79754601226994,1435.8,1510.2,936.3913043478261,1041.5172413793102,1566.3272727272727,1482.4049079754602
78063,MYNBOU_3_Peters15,ant-ivy-2.1.0_aggregated.csv,NB,357,348,352,0.13725490196078433,0.06321839080459771,0.0625,22.632653061224488,8.636363636363637,0.17366946778711484,0.5918367346938775,0.4084507042253521,0.4833333333333334,0.7023581899298915,0.39266657885691103,0.6957038511025238,0.8419029949642195,0.8215873015873011,0.031864490130149345,0.5360450589931129,16.0,0.21333333333333335,105.0,0.29411764705882354,0.756339757621056,0.6778711484593838,0.957983193277311,1.2380952380952381,1.5182072829131652,23567.0,50.0,25.0,0.5918367346938775,0.8636363636363636,0.13636363636363635,0.40816326530612246,29.0,20.0,266.0,42.0,2.4482758620689653,14.3,1.42,11.44,2.2903225806451615,13.0,812.6551724137931,694.75,471.34,555.8,760.2258064516129,631.5909090909091,2.7203065134099615,15.88888888888889,1.5777777777777777,12.71111111111111,2.595029239766083,15.434874449366315,902.9501915708812,771.9444444444445,523.7111111111111,617.5555555555555,861.3669590643278,749.8866450137936,3.0603448275862064,17.875,1.775,14.3,2.9781879194630854,18.380731867991557,1015.8189655172413,868.4375,589.175,694.75,988.5486577181202,893.007934635464,3.4975369458128083,20.428571428571427,2.0285714285714285,16.34285714285714,3.4735812133072423,22.117994378844752,1160.9359605911332,992.5,673.3428571428572,794.0,1152.984344422701,1074.578782846321,4.080459770114943,23.833333333333332,2.3666666666666667,19.066666666666666,4.137529137529138,27.101821703338963,1354.4252873563219,1157.9166666666667,785.5666666666667,926.3333333333334,1373.3682983682986,1316.7126313562758,4.896551724137931,28.6,2.84,22.88,5.071428571428571,34.13333333333333,1625.3103448275863,1389.5,942.68,1111.6,1683.357142857143,1658.3310023310023
78064,MYNBOU_5_Watanabe08,ant-ivy-2.0.0_aggregated.csv,NB,352,3869,3869,0.14204545454545456,0.037477384337038,0.037477384337038,18.16,9.450331125827814,0.16477272727272727,0.42,0.42,0.41999999999999993,0.5735294117647058,0.32397350993377483,0.5842951246410268,0.813046357615894,0.8061363636363654,0.028648344712933066,0.5315541726939418,10.0,0.13333333333333333,115.0,0.32670454545454547,0.7678430088157425,0.90625,1.3181818181818181,1.7301136363636365,2.1420454545454546,18317.0,38.0,37.0,0.42,0.9039735099337748,0.09602649006622517,0.58,21.0,29.0,273.0,29.0,2.380952380952381,10.413793103448276,1.3157894736842106,8.162162162162161,1.8518518518518519,10.413793103448276,872.2380952380952,631.7931034482758,482.0263157894737,495.18918918918916,678.4074074074074,631.7931034482758,2.645502645502645,11.57088122605364,1.461988304093567,9.069069069069068,2.111575657755818,12.049106091980168,969.1534391534391,701.9923371647509,535.5847953216373,550.2102102102101,773.5546264622665,731.0057013816578,2.9761904761904763,13.017241379310343,1.644736842105263,10.202702702702702,2.4375975039001547,14.090026873693631,1090.297619047619,789.7413793103448,602.5328947368421,618.9864864864865,892.9894695787826,854.8260674828302,3.4013605442176873,14.876847290640397,1.879699248120301,11.660231660231661,2.8582861716115033,16.707143686967882,1246.0544217687075,902.5615763546799,688.609022556391,707.4131274131274,1047.104556108158,1013.6035981212765,3.9682539682539684,17.35632183908046,2.1929824561403506,13.603603603603604,3.420908593322388,20.18500695112823,1453.7301587301588,1052.9885057471265,803.3771929824561,825.3153153153154,1253.2156540777235,1224.601646882687,4.761904761904762,20.82758620689655,2.6315789473684212,16.324324324324323,4.2105263157894735,25.036269430051814,1744.4761904761904,1263.5862068965516,964.0526315789474,990.3783783783783,1542.4842105263158,1518.9222797927462
78065,MYNBOU_3_Peters15,ant-ivy-2.2.0_aggregated.csv,NB,363,347,357,0.10192837465564739,0.06051873198847262,0.06722689075630252,30.45945945945946,8.217791411042946,0.21212121212121213,0.7297297297297297,0.2872340425531915,0.4122137404580153,0.7607288550448735,0.3620540858530791,0.7599113761478871,0.848905654120378,0.7958371594735233,0.025461191091534992,0.5486235452631423,12.0,0.2222222222222222,111.0,0.30578512396694213,0.7425472874926815,0.46005509641873277,0.5977961432506887,0.7355371900826446,0.8732782369146006,27348.0,41.0,13.0,0.7297297297297297,0.7944785276073619,0.20552147239263804,0.2702702702702703,27.0,10.0,259.0,67.0,3.4814814814814814,26.9,2.292682926829268,20.692307692307693,3.76,22.416666666666668,1012.8888888888889,1193.3,667.0243902439024,917.9230769230769,1093.92,994.4166666666666,3.868312757201646,29.88888888888889,2.5474254742547426,22.991452991452988,4.315886134067953,26.477766445785885,1125.432098765432,1325.888888888889,741.1382113821138,1019.9145299145298,1255.6473829201104,1174.5694683924273,4.351851851851851,33.625,2.865853658536585,25.865384615384613,5.021367521367519,30.991596903852376,1266.111111111111,1491.625,833.7804878048779,1147.4038461538462,1460.8974358974351,1374.8056723184773,4.973544973544974,38.42857142857143,3.275261324041812,29.560439560439562,5.941845764854616,36.34816838154149,1446.984126984127,1704.7142857142858,952.8919860627178,1311.3186813186815,1728.697850821745,1612.426369133586,5.802469135802469,44.833333333333336,3.821138211382114,34.48717948717949,7.1865443425076485,43.15879953308148,1688.1481481481483,1988.8333333333333,1111.7073170731708,1529.871794871795,2090.825688073395,1914.5500179489266,6.962962962962963,53.8,4.585365853658536,41.38461538461539,8.952380952380953,52.44782939832445,2025.7777777777778,2386.6,1334.0487804878048,1835.8461538461538,2604.5714285714284,2326.6169078446305
78066,MYNBOU_5_Watanabe08,ant-ivy-2.1.0_aggregated.csv,NB,357,4775,4775,0.13725490196078433,0.04879581151832461,0.04879581151832461,22.632653061224488,8.636363636363637,0.1568627450980392,0.5306122448979592,0.4406779661016949,0.4814814814814815,0.6656426011264721,0.3923388198758218,0.659555836827485,0.8550887887622581,0.8308870214752555,0.03326245191226478,0.5497268343032047,14.0,0.18666666666666668,96.0,0.2689075630252101,0.7164059580374785,0.7366946778711485,1.0588235294117647,1.380952380952381,1.7030812324929971,20603.0,45.0,30.0,0.5306122448979592,0.8928571428571429,0.10714285714285714,0.46938775510204084,26.0,23.0,275.0,33.0,2.269230769230769,12.956521739130435,1.3111111111111111,9.933333333333334,2.269230769230769,11.037037037037036,792.4230769230769,733.0,457.84444444444443,561.9666666666667,792.4230769230769,624.4074074074074,2.5213675213675213,14.396135265700483,1.4567901234567902,11.037037037037036,2.5809273840769906,12.939943303186826,880.4700854700853,814.4444444444445,508.71604938271605,624.4074074074074,901.2685914260719,732.0620944578077,2.8365384615384612,16.195652173913043,1.6388888888888888,12.416666666666666,2.9737903225806437,15.235351289490678,990.5288461538461,916.2499999999999,572.3055555555555,702.4583333333334,1038.457661290322,861.922105333971,3.241758241758242,18.509316770186338,1.8730158730158732,14.19047619047619,3.4828807556080297,18.136837927428772,1132.032967032967,1047.1428571428573,654.0634920634922,802.8095238095239,1216.2337662337666,1026.070304088999,3.782051282051282,21.594202898550726,2.185185185185185,16.555555555555557,4.166666666666668,21.988082494704926,1320.7051282051282,1221.6666666666667,763.074074074074,936.6111111111111,1455.0141242937857,1243.9499422088265,4.538461538461538,25.91304347826087,2.6222222222222222,19.866666666666667,5.130434782608695,27.39245960502693,1584.8461538461538,1466.0,915.6888888888889,1123.9333333333334,1791.5652173913043,1549.6962298025135
78067,MYNBOU_3_Peters15,ant-ivy-2.3.0_aggregated.csv,NB,451,348,363,0.028824833702882482,0.09195402298850575,0.09366391184573003,87.23076923076923,8.833333333333334,0.23503325942350334,0.8461538461538461,0.09565217391304348,0.171875,0.8021834061135372,0.23366909045893794,0.7999402833664863,0.8189322093431682,0.7866645549572343,0.0,0.47658470795725655,1.0,0.07142857142857142,99.0,0.21951219512195122,0.6623716153127915,0.2749445676274945,0.29711751662971175,0.31929046563192903,0.34146341463414637,33914.0,12.0,2.0,0.8461538461538461,0.7625570776255708,0.2374429223744292,0.15384615384615385,11.0,2.0,334.0,104.0,10.454545454545455,168.0,9.583333333333334,168.0,12.777777777777779,168.0,3083.090909090909,7140.5,2826.1666666666665,7140.5,3768.222222222222,7140.5,11.616161616161616,186.66666666666666,10.648148148148147,186.66666666666666,14.357053682896376,206.26151012891344,3425.6565656565654,7933.888888888889,3140.1851851851848,7933.888888888889,4233.957553058676,8766.728054020872,13.068181818181817,210.0,11.979166666666664,210.0,16.335227272727273,256.0975609756097,3853.863636363636,8925.625,3532.708333333333,8925.625,4817.329545454546,10884.908536585364,14.935064935064936,240.00000000000003,13.690476190476193,240.00000000000003,18.88341543513957,322.14765100671144,4404.415584415585,10200.714285714286,4037.380952380953,10200.714285714286,5568.801313628899,13692.233940556089,17.424242424242426,280.0,15.972222222222223,280.0,22.286821705426355,411.764705882353,5138.484848484849,11900.833333333334,4710.277777777778,11900.833333333334,6572.480620155038,17501.22549019608,20.90909090909091,336.0,19.166666666666668,336.0,27.058823529411764,537.6,6166.181818181818,14281.0,5652.333333333333,14281.0,7979.764705882353,22849.6
78068,MYNBOU_3_Peters15,ant-ivy-2.4.0_aggregated.csv,NB,474,432,451,0.035864978902953586,0.013888888888888888,0.013303769401330377,68.0,9.520787746170678,0.1729957805907173,0.7647058823529411,0.14285714285714285,0.24074074074074076,0.7957041343669251,0.28045879354686676,0.7944587431758882,0.7798944523104646,0.7905063291139264,0.00022055758805286695,0.5605706694162437,3.0,0.15000000000000002,84.0,0.17721518987341772,0.5744765228426393,0.2489451476793249,0.2911392405063291,0.3333333333333333,0.3755274261603376,29735.0,16.0,4.0,0.7647058823529411,0.8293216630196937,0.17067833698030635,0.23529411764705882,13.0,4.0,379.0,78.0,7.0,95.75,5.6875,95.75,7.0,95.75,2287.3076923076924,5174.25,1858.4375,5174.25,2287.3076923076924,5174.25,7.777777777777777,106.38888888888889,6.319444444444445,106.38888888888889,7.8380706287683015,111.69437153689123,2541.4529914529912,5749.166666666667,2064.9305555555557,5749.166666666667,2561.1541774332463,6035.870516185477,8.75,119.6875,7.109375,119.6875,8.88671875,131.52472527472528,2859.1346153846152,6467.8125,2323.046875,6467.8125,2903.80859375,7107.486263736264,10.0,136.7857142857143,8.125,136.7857142857143,10.236220472440944,156.77445763405652,3267.5824175824177,7391.785714285715,2654.9107142857147,7391.785714285715,3344.7694038245218,8471.960704052395,11.666666666666666,159.58333333333334,9.479166666666668,159.58333333333334,12.03703703703704,189.98015873015873,3812.1794871794873,8623.75,3097.3958333333335,8623.75,3933.201058201059,10266.369047619048,14.0,191.5,11.375,191.5,14.56,235.69230769230768,4574.615384615385,10348.5,3716.875,10348.5,4757.6,12736.615384615385
78069,MYNBOU_5_Watanabe08,ant-ivy-2.2.0_aggregated.csv,NB,363,7656,7656,0.10192837465564739,0.05276907001044932,0.05276907001044932,30.45945945945946,8.217791411042946,0.162534435261708,0.5135135135135135,0.31666666666666665,0.39175257731958757,0.6469920544835414,0.3158353728489392,0.6446928037481072,0.8512269938650306,0.8440975410672412,0.019250396816044676,0.5516341422250133,6.0,0.1111111111111111,89.0,0.24517906336088155,0.6877370739034142,0.6088154269972452,0.8567493112947658,1.1046831955922864,1.3526170798898072,21931.0,32.0,22.0,0.5135135135135135,0.8742331288343558,0.12576687116564417,0.4864864864864865,19.0,18.0,285.0,41.0,3.1578947368421053,16.833333333333332,1.875,13.772727272727273,3.75,14.428571428571429,1154.2631578947369,963.8888888888889,685.34375,788.6363636363636,1370.6875,826.1904761904761,3.508771929824561,18.703703703703706,2.0833333333333335,15.303030303030303,4.24628450106157,17.01342305343451,1282.5146198830407,1070.9876543209878,761.4930555555555,876.2626262626262,1552.0877565463547,974.2009570200948,3.9473684210526314,21.041666666666668,2.34375,17.21590909090909,4.870129870129869,20.093141778608935,1442.828947368421,1204.861111111111,856.6796875,985.7954545454545,1780.1136363636358,1150.5478873229868,4.511278195488722,24.047619047619047,2.678571428571429,19.675324675324678,5.676442762535479,23.951342236420352,1648.9473684210527,1376.984126984127,979.0625000000001,1126.6233766233768,2074.834437086093,1371.4712468709342,5.263157894736842,28.055555555555557,3.125,22.954545454545457,6.756756756756758,29.04302886331866,1923.7719298245613,1606.4814814814818,1142.2395833333335,1314.3939393939395,2469.7072072072074,1663.0249200613162,6.315789473684211,33.666666666666664,3.75,27.545454545454547,8.275862068965518,36.162237762237766,2308.5263157894738,1927.7777777777778,1370.6875,1577.2727272727273,3024.9655172413795,2070.6759906759908
78070,MYNBOU_3_Peters15,archiva-1.1_aggregated.csv,NB,467,387,430,0.06852248394004283,0.012919896640826873,0.01627906976744186,25.0625,5.577011494252874,0.08779443254817987,0.28125,0.3333333333333333,0.3050847457627119,0.43490352859377723,0.2596501519557774,0.4909254426782784,0.6906968390804598,0.690557165050175,0.011040042942502173,0.6109263359995538,19.0,0.3725490196078431,234.0,0.5010706638115632,0.696324378757812,0.5310492505353319,0.7773019271948608,1.0235546038543897,1.2698072805139187,3899.0,14.0,37.0,0.28125,0.9586206896551724,0.041379310344827586,0.71875,9.0,23.0,417.0,18.0,3.0,19.130434782608695,1.9285714285714286,11.891891891891891,13.5,16.923076923076923,433.22222222222223,1298.4347826086957,278.5,807.1351351351351,1949.5,1148.6153846153845,3.3333333333333335,21.256038647342997,2.142857142857143,13.213213213213212,17.35106998264893,20.187588578780005,481.358024691358,1442.7053140096618,309.44444444444446,896.8168168168168,2505.6230319388214,1370.1866939015592,3.75,23.913043478260867,2.4107142857142856,14.864864864864865,22.321428571428573,24.1008203042838,541.5277777777777,1623.0434782608693,348.12499999999994,1008.9189189189188,3223.3796296296296,1635.7884035616623,4.285714285714286,27.329192546583855,2.7551020408163267,16.98841698841699,28.720348899053295,28.90874101775852,618.8888888888889,1854.9068322981368,397.8571428571429,1153.050193050193,4147.4311243484735,1962.1150948962281,5.000000000000001,31.884057971014496,3.214285714285714,19.81981981981982,37.00657894736842,35.04613345567622,722.0370370370371,2164.057971014493,464.16666666666663,1345.2252252252254,5344.024122807017,2378.6766580007147,6.0,38.26086956521739,3.857142857142857,23.783783783783782,48.0,43.323076923076925,866.4444444444445,2596.8695652173915,557.0,1614.2702702702702,6931.555555555556,2940.4553846153844
